name,location,tel_nomer,restaurant_link
Parkway Grill,"510 S Arroyo Pkwy, Pasadena, CA 91105-2520",+1 626-795-1001,http://www.theparkwaygrill.com/
Bellissimo Venice,"68 N Venice Blvd # A, Los Angeles, CA 90291",+1 310-305-2430,http://bellissimovenice.com/
Truxton's American Bistro,"8611 Truxton Ave, Los Angeles, CA 90045-3910",+1 310-417-8789,http://truxtonsamericanbistro.com
Alcove Cafe & Bakery,"1929 Hillhurst Ave, Los Angeles, CA 90027-2711",+1 323-644-0100,http://www.alcovecafe.com
Love Baked Wings,"7350 Melrose Ave Suite a, Los Angeles, CA 90046-7527",+1 323-424-4300,http://www.lovebakedwings.com
Gale's Italian Restaurant and Bar,"452 S Fair Oaks Ave, Pasadena, CA 91105-2634",+1 626-432-6705,http://www.galesrestaurant.com/
Aliki's Greek Taverna,"5862 Arbor Vitae St, Los Angeles, CA 90045-4731",+1 310-645-9555,http://www.elikioliveoil.com
Nickel Diner,"524 S Main St, Los Angeles, CA 90013-1422",+1 213-623-8301,http://nickeldiner.com/
Shin,"1655 N La Brea Ave Corner of Hollywood Blvd and La Brea Ave, Los Angeles, CA 90028",+1 323-874-4692,https://www.hollywoodshin.com/
Foxy's Restaurant,"206 W Colorado St, Glendale, CA 91204-1306",+1 818-246-0244,https://www.foxysrestaurant.com/
Kaviar Los Angeles,"449 S Hewitt St, Los Angeles, CA 90013-2215",+1 213-221-7078,http://www.kaviarrestaurants.com
Din Tai Fung,"177 Caruso Ave, Glendale, CA 91210-1564",+1 818-551-5561,http://dintaifungusa.com
SUGARFISH by sushi nozawa,"600 W 7th St, Los Angeles, CA 90017-3842",+1 213-627-3000,http://www.sugarfishsushi.com
The Griddle Cafe,"7916 W Sunset Blvd, Los Angeles, CA 90068-3782",+1 323-874-0377,http://www.thegriddlecafe.com/
Russell's,"30 N Fair Oaks Ave One Colorado, Pasadena, CA 91103-3609",+1 626-578-1404,http://www.russellspasadena.com
Raffi's Place Restaurant,"211 E Broadway, Glendale, CA 91205-1008",+1 818-240-7411,http://www.raffisplace.com/
Iron Teapot Dim Sum & Bar,"10306 Venice Blvd, Los Angeles, CA 90034",+1 310-736-1803,http://www.iron-teapot.com/
Pampas Grill,"6333 W 3rd St Ste 618, Los Angeles, CA 90036-3109",+1 323-934-6680,http://www.pampas-grill.com
Craft Los Angeles,"10100 Constellation Blvd, Los Angeles, CA 90067-4604",+1 310-279-4180,https://www.craftlosangeles.com/
Republique,"624 S La Brea Ave, Los Angeles, CA 90036-3568",+1 310-362-6115,http://republiquela.com
Houston's,"320 S Arroyo Pkwy, Pasadena, CA 91105-2516",+1 626-577-6001,http://www.houstons.com/locations/pasadena/
Lemonade,"1661 Abbot Kinney Blvd, Los Angeles, CA 90291-3744",+1 310-452-6200,http://www.lemonadela.com/
Magic Castle,"7001 Franklin Ave, Los Angeles, CA 90028-8600",+1 323-851-3313,http://www.magiccastle.com/
Vivian's Millennium Cafe,"10968 Ventura Blvd Studio City, Los Angeles, CA 91604-3340",+1 818-762-8710,http://viviansmillenniumcafe.com
Tatsu Ramen,"2123 Sawtelle Blvd, Los Angeles, CA 90025-6200",+1 310-684-2889,http://www.tatsuramen.com
Ca' Del Sole,"4100 Cahuenga Blvd, Los Angeles, CA 91602-2831",+1 818-985-4669,http://cadelsole.com/
